subject_id,session_id,nwb_object_id,session_start_time
SLR087,SLR087_arena_d1,14ua2bs,2018-07-06
SLR087,SLR087_arena_d2,1h0e24p,2018-07-06
SLR087,SLR087_arena_d3,vrzjkl,2018-07-06
SLR087,SLR087_arena_d4,1nmsm4n,2018-07-06
SLR087,SLR087_arena_d5,szr1ho,2018-07-06
SLR087,SLR087_arena_d6,v6mj6u,2018-07-06
SLR087,SLR087_arena_d7,tpv0p4,2018-07-06
SLR087,SLR087_arena_d8,9f5hhw,2018-07-06
SLR087,SLR087_arena_d9,1fv2c8,2018-07-11
SLR087,SLR087_arena_d10,wp37jz,2018-07-11
SLR087,SLR087_arena_d11,13oav6e,2018-07-11
SLR087,SLR087_arena_d12,1mb8ljx,2018-07-11
SLR087,SLR087_arena_d13,16d83tl,2018-07-11
SLR087,SLR087_arena_d14,cgo0ri,2018-07-11
SLR087,SLR087_arena_d15,1jc5hk4,2018-07-11
SLR087,SLR087_arena_d16,1ffti0t,2018-07-11
SLR087,SLR087_arena_d17,spo27a,2018-07-12
SLR087,SLR087_arena_d18,1y0rfwn,2018-07-12
SLR087,SLR087_arena_d19,qcdhpp,2018-07-12
SLR087,SLR087_arena_d20,1p2szib,2018-07-12
SLR087,SLR087_arena_d21,ytrdlt,2018-07-12
SLR087,SLR087_arena_d22,1t4nevm,2018-07-12
SLR087,SLR087_arena_d23,le8mji,2018-07-12
SLR087,SLR087_arena_d24,cokntb,2018-07-12
SLR089,SLR089_arena_d1,1sjk8fr,2018-07-25
SLR089,SLR089_arena_d2,et1wjh,2018-07-25
SLR089,SLR089_arena_d3,1n5jf88,2018-07-25
SLR089,SLR089_arena_d4,1rdxalu,2018-07-25
SLR089,SLR089_arena_d5,wy9qph,2018-07-25
SLR089,SLR089_arena_d6,cet65d,2018-07-25
SLR089,SLR089_arena_d7,r8sgmu,2018-07-25
SLR089,SLR089_arena_d8,1st7ucm,2018-07-26
SLR089,SLR089_arena_d9,1cb7u1s,2018-07-26
SLR089,SLR089_arena_d10,lj1usc,2018-07-26
SLR089,SLR089_arena_d11,16rdupn,2018-07-26
SLR089,SLR089_arena_d12,ymm6bn,2018-07-26
SLR089,SLR089_arena_d13,16fygzo,2018-07-26
SLR089,SLR089_arena_d14,s4xzfg,2018-07-26
SLR089,SLR089_arena_d15,1356000,2018-07-26
SLR089,SLR089_arena_d16,pufvcp,2018-07-26
SLR089,SLR089_arena_d17,1azqfyf,2018-07-26
SLR089,SLR089_arena_d18,1ehh0g2,2018-07-26
SLR089,SLR089_arena_d19,1grmnk6,2018-07-27
SLR089,SLR089_arena_d20,1ln4trh,2018-07-27
SLR089,SLR089_arena_d21,fkuvpi,2018-07-27
SLR089,SLR089_arena_d22,4z64wf,2018-07-27
SLR089,SLR089_arena_d23,112702m,2018-07-28
SLR089,SLR089_arena_d24,192lq88,2018-07-28
SLR089,SLR089_arena_d25,rzlb7p,2018-07-28
SLR089,SLR089_arena_d26,1kwrcx7,2018-07-28
SLR090,SLR090_arena_d1,1xddw60,2018-07-25
SLR090,SLR090_arena_d2,1nbubi2,2018-07-25
SLR090,SLR090_arena_d3,12oaft,2018-07-25
